generation,rank_1,rank_2,swapAccepted
1120000,3,4,1
1121000,2,3,1
1122000,1,2,1
1123000,1,3,1
1124000,3,4,1
1125000,1,2,1
1126000,1,3,1
1127000,2,4,1
1128000,2,4,1
1129000,2,4,1
1130000,1,4,1
1131000,2,3,1
1132000,3,4,1
1133000,1,3,1
1134000,1,2,1
1135000,2,3,1
1136000,1,4,1
1137000,1,2,1
1138000,2,4,1
1139000,3,4,1
1140000,1,2,1
1141000,2,3,1
1142000,3,4,1
1143000,1,2,1
1144000,3,4,1
1145000,2,4,1
1146000,2,4,1
1147000,1,3,1
1148000,1,2,1
1149000,1,4,1
1150000,3,4,1
1151000,3,4,1
1152000,1,4,1
1153000,2,3,1
1154000,3,4,1
1155000,2,3,1
1156000,1,2,1
1157000,1,2,1
1158000,3,4,1
1159000,1,3,1
1160000,3,4,1
1161000,1,4,1
1162000,3,4,1
1163000,2,3,1
1164000,3,4,1
1165000,1,3,1
1166000,1,4,1
1167000,3,4,1
1168000,1,2,1
1169000,1,2,1
1170000,1,2,1
1171000,1,2,1
1172000,1,3,1
1173000,1,3,1
1174000,1,4,0
1175000,1,2,1
1176000,1,3,1
1177000,1,3,1
1178000,1,3,1
1179000,1,2,1
1180000,1,3,1
1181000,1,3,1
1182000,3,4,1
1183000,2,3,1
1184000,2,3,1
1185000,1,3,1
1186000,2,4,1
1187000,1,2,1
1188000,1,4,1
1189000,1,2,1
1190000,1,3,1
1191000,1,3,1
1192000,1,4,1
1193000,1,4,1
1194000,3,4,1
1195000,3,4,1
1196000,3,4,1
1197000,1,3,1
1198000,3,4,1
1199000,1,2,1
1200000,2,3,1
1201000,2,4,1
1202000,3,4,1
1203000,1,3,1
1204000,2,3,1
1205000,1,3,1
1206000,2,4,1
1207000,1,3,1
1208000,1,4,1
1209000,3,4,1
1210000,1,3,1
1211000,2,3,1
1212000,3,4,1
1213000,1,2,1
1214000,3,4,1
1215000,3,4,1
1216000,2,4,1
1217000,1,3,1
1218000,2,4,1
1219000,2,4,1
1220000,2,3,1
1221000,2,3,1
1222000,1,2,1
1223000,1,3,1
1224000,2,3,1
1225000,2,4,1
1226000,1,3,1
1227000,1,2,1
1228000,2,3,1
1229000,2,4,1
1230000,1,3,1
1231000,1,4,1
1232000,2,4,1
1233000,2,4,1
1234000,1,3,1
1235000,1,3,1
1236000,1,4,1
1237000,2,3,1
